,threshold,max_assocs,n_assocs,n_assocs_pc,density
0,0.3,110.0,52232.0,0.3125044872561924,0.08855523003472222
1,0.7000000000000001,35.0,11464.0,0.06419963263294655,0.019436306423611112
2,0.3,115.0,54418.0,0.32191237887912166,0.09226142035590278
3,0.35000000000000003,100.0,45452.0,0.26880359571825657,0.0770602756076389
4,0.3,116.0,54126.0,0.288269191849256,0.091766357421875
5,0.35000000000000003,90.0,45018.0,0.2689922202703187,0.076324462890625
6,0.3,108.0,51462.0,0.3069755789122058,0.087249755859375
7,0.3,114.0,50788.0,0.3004069464818057,0.08610704210069445
8,0.25,111.0,56418.0,0.3427873573693996,0.09565226236979167
9,0.35000000000000003,105.0,48216.0,0.2517228417491542,0.08174641927083333
10,0.35000000000000003,99.0,45300.0,0.2520222981318082,0.07680257161458333
11,0.6500000000000001,42.0,15208.0,0.08406947561609304,0.025783962673611112
12,0.35000000000000003,94.0,45258.0,0.28163387223238623,0.07673136393229167
13,0.3,111.0,51750.0,0.29986788429445577,0.087738037109375
14,0.3,107.0,52262.0,0.31085759151092657,0.08860609266493055
15,0.3,114.0,55438.0,0.30008660820612754,0.0939907497829861
16,0.6500000000000001,42.0,15348.0,0.08396061269146608,0.026021321614583332
17,0.3,111.0,51676.0,0.3047041758552779,0.0876125759548611
18,0.3,109.0,51414.0,0.2934924078091106,0.08716837565104167
19,0.3,107.0,52034.0,0.2981686073164023,0.08821953667534722
